ACx MEIS2 GABA	group	allocortex Meis homeobox 2 GABAergic neuron
AMY-SLEA-BNST D1 GABA	group	amygdaloid complex-sublenticular extended amygdala-bed nucleus of stria terminalis D1 GABAergic neuron
AMY-SLEA-BNST GABA	group	amygdaloid complex-sublenticular extended amygdala-bed nucleus of stria terminalis GABAergic neuron
Astro-Epen	class	astrocyte-ependymal cell
Astrocyte	group	astrocyte
Astrocyte	subclass	astrocyte
Astrocyte-1	group	astrocyte-1
Astrocyte-2	group	astrocyte-2
Astrocyte-3	group	astrocyte-3
Astrocyte-4	group	astrocyte-4
B cell	group	
BAM	group	border-associated macrophage
BF SKOR1 Glut	group	basal forebrain SKI family transcriptional corepressor 1 glutamatergic neuron
CN CGE GABA	class	cerebral nuclei caudal ganglionic eminence GABAergic neuron
CN Cholinergic GABA	subclass	cerebral nuclei cholinergic neuron GABAergic neuron
CN GABA-Glut	class	cerebral nuclei GABAergic neuron-glutamatergic neuron
CN GABA-Glut	subclass	cerebral nuclei GABAergic neuron-glutamatergic neuron
CN LAMP5-CXCL14 GABA	subclass	cerebral nuclei lysosomal associated membrane protein family member 5-C-X-C motif chemokine ligand 14 GABAergic neuron
CN LAMP5-LHX6 GABA	subclass	cerebral nuclei lysosomal associated membrane protein family member 5-LIM homeobox 6 GABAergic neuron
CN LGE GABA	class	cerebral nuclei lateral ganglionic eminence GABAergic neuron
CN LHX8 GABA	subclass	cerebral nuclei LIM homeobox 8 GABAergic neuron
CN MEIS2 GABA	subclass	cerebral nuclei Meis homeobox 2 GABAergic neuron
CN MGE GABA	class	cerebral nuclei medial ganglionic eminence GABAergic neuron
CN ONECUT1 GABA	subclass	cerebral nuclei one cut homeobox 1 GABAergic neuron
CN ST18 GABA	subclass	cerebral nuclei ST18 C2H2C-type zinc finger transcription factor GABAergic neuron
CN VIP GABA	subclass	cerebral nuclei vasoactive intestinal peptide GABAergic neuron
COP	group	committed oligodendrocyte precursor
COP	subclass	committed oligodendrocyte precursor
