taxonomy_level,final_nomenclature,pre-print_nomenclature,ID
Group,B cell,B cells,CS20250428_GROUP_0000
Group,BAM,BAM,CS20250428_GROUP_0001
Group,GPin-BF Cholinergic GABA,GPin-BF Cholinergic GABA,CS20250428_GROUP_0003
Group,LAMP5-CXCL14 GABA,LAMP5-CXCL14 GABA,CS20250428_GROUP_0004
Group,LAMP5-LHX6 GABA,LAMP5-LHX6 GABA,CS20250428_GROUP_0005
Group,BF SKOR1 Glut,BF SKOR1 Glut,CS20250428_GROUP_0008
Group,COP,COP,CS20250428_GROUP_0009
Group,Endo,Endo,CS20250428_GROUP_0011
Group,Ependymal,Ependymal,CS20250428_GROUP_0012
Group,GPe MEIS2-SOX6 GABA,GPe MEIS2-SOX6 GABA,CS20250428_GROUP_0013
Group,GPe SOX6-CTXND1 GABA,GPe SOX6-CTXND1 GABA,CS20250428_GROUP_0014
Group,GPi Core GABA,GPi Core,CS20250428_GROUP_0015
Group,GPi Shell GABA-Glut,GPi Shell,CS20250428_GROUP_0016
Group,ImAstro,ImAstro,CS20250428_GROUP_0017
Group,ImOligo,ImOligo,CS20250428_GROUP_0018
Group,Microglia,Microglia,CS20250428_GROUP_0019
Group,GPe-NDB-SI LHX6-LHX8-GBX1 GABA,GPe-NDB-SI LHX6-LHX8-GBX1 GABA,CS20250428_GROUP_0020
Group,Monocyte,Monocyte,CS20250428_GROUP_0022
Group,OPC,OPC,CS20250428_GROUP_0023
Group,OT ICj Granule,OT D1 ICj,CS20250428_GROUP_0024
Group,Oligo OPALIN,Oligo OPALIN,CS20250428_GROUP_0025
Group,Oligo PLEKHG1,Oligo PLEKHG1,CS20250428_GROUP_0026
Group,Pericyte,Pericyte,CS20250428_GROUP_0027
Group,SMC,SMC,CS20250428_GROUP_0028
Group,SN-VTR CALB1 Dopa,SN-VTR CALB1 Dopa,CS20250428_GROUP_0029
Group,IP EBF2 GABA,SN EBF2 GABA,CS20250428_GROUP_0030
Group,SN-VTR GAD2 Dopa,SN-VTR GAD2 Dopa,CS20250428_GROUP_0031
Group,SN GATA3-PAX8 GABA,SN GATA3-PAX8 GABA,CS20250428_GROUP_0032
Group,SN GATA3-PVALB GABA,SN GATA3-PVALB GABA,CS20250428_GROUP_0033
Group,IP SEMA5A GABA,SN SEMA5A GABA,CS20250428_GROUP_0034
Group,SN SOX6 Dopa,SN SOX6 Dopa,CS20250428_GROUP_0035
Group,SN-VTR-HTH GATA3-TCF7L2 GABA,SN-VTR-HTH GATA3-TCF7L2 GABA,CS20250428_GROUP_0037
Group,STH PVALB-PITX2 Glut,STH PVALB-PITX2 Glut,CS20250428_GROUP_0038
Group,Astrocyte,Astrocyte,CS20250428_GROUP_0039
Group,STR FS PTHLH-PVALB GABA,STR FS PTHLH-PVALB GABA,CS20250428_GROUP_0040
Group,STR LYPD6-RSPO2 GABA,STR LYPD6-RSPO2 GABA,CS20250428_GROUP_0041
Group,STR SST-ADARB2 GABA,STR SST-ADARB2 GABA,CS20250428_GROUP_0042
Group,STR SST-CHODL GABA,STR SST-CHODL GABA,CS20250428_GROUP_0043
Group,STR SST-RSPO2 GABA,STR SST-RSPO2 GABA,CS20250428_GROUP_0044
Group,STR TAC3-PLPP4 GABA,STR TAC3-PLPP4 GABA,CS20250428_GROUP_0045
Group,STR-BF TAC3-PLPP4-LHX8 GABA,STR-BF TAC3-PLPP4-LHX8 GABA,CS20250428_GROUP_0046
Group,VIP GABA,VIP GABA,CS20250428_GROUP_0047
Group,STRd Cholinergic GABA,STRd Cholinergic GABA,CS20250428_GROUP_0048
Group,STRd D1 Matrix SPN,STRd D1 Matrix MSN,CS20250428_GROUP_0049
Group,STRd D1 Striosome SPN,STRd D1 Striosome MSN,CS20250428_GROUP_0050
Group,STR D1D2 eSPN,STR D1D2 Hybrid MSN,CS20250428_GROUP_0051
Group,STRd D2 Matrix SPN,STRd D2 Matrix MSN,CS20250428_GROUP_0052
Group,STR D2 SMYD2-HTR7 SPN,STRd D2 StrioMat Hybrid MSN,CS20250428_GROUP_0053
Group,STRd D2 Striosome SPN,STRd D2 Striosome MSN,CS20250428_GROUP_0054
Group,STR Cholinergic GABA,STR Cholinergic GABA,CS20250428_GROUP_0055
Group,STRv D1 SPN,STRv D1 MSN,CS20250428_GROUP_0056
